,waste,wst_oper,unit,countryID,y2018,y2017,y2016,y2015,y2014,y2013,y2012,y2011,y2010,y2009,y2008,y2007,y2006,y2005,sum_year
8194,EE_SHA,REU,KG_HAB,LV,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
8195,EE_SHA,REU,KG_HAB,MT,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8196,EE_SHA,REU,KG_HAB,NL,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0
8197,EE_SHA,REU,KG_HAB,NO,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8198,EE_SHA,REU,KG_HAB,PL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
8199,EE_SHA,REU,KG_HAB,PT,,0.01,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.01
8200,EE_SHA,REU,KG_HAB,SE,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0
8201,EE_SHA,REU,KG_HAB,SI,,,0.0,,,,0.0,0.0,,,,,,,0.0
8202,EE_SHA,REU,KG_HAB,SK,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8203,EE_SHA,REU,KG_HAB,GB,,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,,,0.05
8495,EE_TLS,COL,KG_HAB,AT,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.11999999999999998
8496,EE_TLS,COL,KG_HAB,BE,,0.05,0.05,0.04,0.04,0.03,0.03,0.06,0.02,0.01,0.01,0.0,,,0.3400000000000001
8497,EE_TLS,COL,KG_HAB,BG,,0.03,0.06,0.05,0.05,0.02,0.04,0.02,0.03,0.01,,,,,0.31000000000000005
8498,EE_TLS,COL,KG_HAB,CY,,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,,,0.05
8499,EE_TLS,COL,KG_HAB,CZ,,0.05,0.06,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,,,0.30000000000000004
8500,EE_TLS,COL,KG_HAB,DE,,0.08,0.08,0.08,0.12,0.12,0.04,0.04,0.05,0.13,0.09,0.05,0.06,,0.9400000000000002
8501,EE_TLS,COL,KG_HAB,DK,,0.05,0.05,0.09,0.1,0.04,0.06,0.07,0.12,0.16,0.12,0.23,0.07,,1.1600000000000001
8502,EE_TLS,COL,KG_HAB,EE,,0.0,0.0,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,,0.10999999999999999
8503,EE_TLS,COL,KG_HAB,GR,,0.01,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.04,0.03,0.02,0.01,0.0,0.27
8504,EE_TLS,COL,KG_HAB,ES,,0.08,0.06,0.04,0.05,0.05,0.06,0.07,0.06,0.07,0.08,0.08,0.0,,0.7
8505,EE_TLS,COL,KG_HAB,EU27_2020,,0.05,0.05,0.04,0.05,0.05,0.04,0.04,,,,,,,0.32
8506,EE_TLS,COL,KG_HAB,EU28,,0.05,0.05,0.04,0.05,0.04,0.04,0.04,,,,,,,0.31
8507,EE_TLS,COL,KG_HAB,FI,,0.03,0.02,0.03,0.03,0.03,0.02,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.21
8508,EE_TLS,COL,KG_HAB,FR,,0.04,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.0,0.0,,0.25
8509,EE_TLS,COL,KG_HAB,HR,,0.01,0.01,0.02,0.03,0.0,0.01,0.02,,,,,,,0.1
8510,EE_TLS,COL,KG_HAB,HU,,0.01,0.01,0.01,0.01,0.01,0.06,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.14
8511,EE_TLS,COL,KG_HAB,IE,,0.06,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.01,,,0.18000000000000005
8512,EE_TLS,COL,KG_HAB,IS,,0.03,0.01,0.02,0.0,0.0,0.01,0.01,0.03,0.0,,,,,0.11
8513,EE_TLS,COL,KG_HAB,IT,,,,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02
8514,EE_TLS,COL,KG_HAB,LI,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0
8515,EE_TLS,COL,KG_HAB,LT,,0.03,0.03,0.02,0.03,0.03,0.02,0.05,0.04,0.04,0.06,0.05,0.02,0.01,0.43
8516,EE_TLS,COL,KG_HAB,LU,,0.11,0.11,0.1,0.1,0.04,0.04,0.05,0.05,0.14,0.13,0.03,0.09,,0.9900000000000001
8517,EE_TLS,COL,KG_HAB,LV,,0.05,0.03,0.05,0.1,0.1,0.1,0.17,0.05,0.38,0.14,0.11,,,1.2800000000000005
8518,EE_TLS,COL,KG_HAB,MT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8519,EE_TLS,COL,KG_HAB,NL,,0.05,0.06,0.05,0.03,0.03,0.04,0.05,0.03,0.0,0.02,0.02,0.02,0.03,0.43000000000000005
8520,EE_TLS,COL,KG_HAB,NO,,0.14,0.14,0.12,0.11,0.13,0.09,0.1,0.1,0.13,0.12,0.38,0.06,0.04,1.6600000000000001
8521,EE_TLS,COL,KG_HAB,PL,,0.1,0.08,0.09,0.06,0.07,0.09,0.07,0.04,0.05,0.01,0.0,0.0,,0.6600000000000001
8522,EE_TLS,COL,KG_HAB,PT,,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.0,,0.15
8523,EE_TLS,COL,KG_HAB,RO,,,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,0.03
8524,EE_TLS,COL,KG_HAB,SE,,0.07,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.03,0.01,0.08,0.03,0.8300000000000002
8525,EE_TLS,COL,KG_HAB,SI,,0.03,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,0.16000000000000003
8526,EE_TLS,COL,KG_HAB,SK,,0.03,0.02,0.01,0.03,0.02,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.2
8527,EE_TLS,COL,KG_HAB,GB,,0.04,0.04,0.04,0.03,0.03,0.04,0.05,0.01,0.01,0.01,0.01,,,0.31000000000000005
8689,EE_TLS,MKT,KG_HAB,AT,,0.39,0.42,0.38,0.32,0.26,0.27,0.3,0.33,0.3,0.31,0.28,0.28,0.1,3.94
8690,EE_TLS,MKT,KG_HAB,BE,,0.61,0.6,0.54,0.44,0.36,0.43,0.49,0.54,0.36,0.18,0.24,,,4.79
8691,EE_TLS,MKT,KG_HAB,BG,,0.05,0.06,0.05,0.09,0.08,0.07,0.04,0.03,0.07,,,,,0.54
8692,EE_TLS,MKT,KG_HAB,CY,,0.14,0.11,0.08,0.1,0.11,0.27,0.16,0.24,0.12,0.15,0.12,0.14,0.18,1.9200000000000002
8693,EE_TLS,MKT,KG_HAB,CZ,,0.48,0.37,0.26,0.29,0.24,0.34,0.34,0.27,0.32,0.38,0.35,,,3.6399999999999997
8694,EE_TLS,MKT,KG_HAB,DE,,0.78,0.65,0.63,0.54,0.5,0.51,0.49,0.62,0.48,0.44,0.99,0.31,,6.9399999999999995
8695,EE_TLS,MKT,KG_HAB,DK,,0.55,0.54,0.64,0.62,0.56,0.64,0.66,0.84,0.71,0.46,0.36,0.38,,6.960000000000001
8696,EE_TLS,MKT,KG_HAB,EE,,0.09,0.05,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,,0.3900000000000001
8697,EE_TLS,MKT,KG_HAB,GR,,0.18,0.1,0.09,0.16,0.09,0.17,0.18,0.28,0.25,0.11,0.09,0.09,0.11,1.9000000000000004
8698,EE_TLS,MKT,KG_HAB,ES,,0.43,0.37,0.34,0.31,0.27,0.27,0.34,0.42,0.38,0.49,0.61,0.25,,4.48
8699,EE_TLS,MKT,KG_HAB,EU27_2020,,0.52,0.47,0.43,0.39,0.37,0.36,0.39,,,,,,,2.9299999999999997
8700,EE_TLS,MKT,KG_HAB,EU28,,0.57,0.53,0.48,0.44,0.42,0.42,0.44,,,,,,,3.3
8701,EE_TLS,MKT,KG_HAB,FI,,0.23,0.21,0.18,0.23,0.22,0.27,0.37,0.56,0.5,0.69,0.41,0.37,0.12,4.36
8702,EE_TLS,MKT,KG_HAB,FR,,1.05,0.97,0.87,0.78,0.77,0.68,0.76,0.76,0.73,0.86,0.81,0.6,,9.639999999999999
8703,EE_TLS,MKT,KG_HAB,HR,,0.15,0.17,0.13,0.07,0.06,0.05,0.1,,,,,,,0.7300000000000001
8704,EE_TLS,MKT,KG_HAB,HU,,0.08,0.07,0.06,0.08,0.07,0.06,0.13,0.11,0.08,0.12,0.14,0.07,0.05,1.12
8705,EE_TLS,MKT,KG_HAB,IE,,0.48,0.51,0.51,0.38,0.57,0.28,0.42,0.52,0.52,0.6,0.58,,,5.369999999999999
8706,EE_TLS,MKT,KG_HAB,IS,,0.12,0.09,0.07,0.03,0.08,0.23,0.27,0.28,0.21,,,,,1.38
8707,EE_TLS,MKT,KG_HAB,IT,,,,0.34,0.33,0.33,0.34,0.38,0.34,0.33,0.48,0.48,,,3.35
8708,EE_TLS,MKT,KG_HAB,LT,,0.12,0.1,0.11,0.09,0.09,0.08,0.11,0.1,0.11,0.21,0.2,0.1,0.1,1.52
8709,EE_TLS,MKT,KG_HAB,LU,,0.44,0.33,0.29,0.3,0.23,0.35,1.03,0.76,0.6,0.6,0.65,0.35,0.21,6.139999999999999
8710,EE_TLS,MKT,KG_HAB,LV,,0.14,0.14,0.21,0.24,0.18,0.13,0.13,0.08,0.38,0.3,0.33,,,2.26
8711,EE_TLS,MKT,KG_HAB,MT,,0.28,0.29,0.09,0.58,0.66,0.61,0.72,0.64,0.74,0.84,0.28,0.34,0.33,6.4
8712,EE_TLS,MKT,KG_HAB,NL,,0.37,0.25,0.21,0.18,0.19,0.21,,,,,,,,1.41
8713,EE_TLS,MKT,KG_HAB,NO,,0.98,1.04,0.95,0.95,0.59,0.64,0.81,0.9,0.87,0.63,0.64,0.81,1.04,10.850000000000001
8714,EE_TLS,MKT,KG_HAB,PL,,0.33,0.3,0.24,0.22,0.19,0.22,0.21,0.19,0.16,0.19,0.18,0.29,,2.72
8715,EE_TLS,MKT,KG_HAB,PT,,0.19,0.14,0.12,0.12,0.12,0.15,0.26,0.21,0.29,0.23,0.27,0.2,0.15,2.45
8716,EE_TLS,MKT,KG_HAB,RO,,,0.11,0.08,0.05,0.03,0.04,0.04,0.05,0.03,0.02,0.06,0.02,,0.53
8717,EE_TLS,MKT,KG_HAB,SE,,0.49,0.61,0.51,0.64,0.8,0.57,0.64,0.64,0.4,0.48,0.58,0.18,0.07,6.609999999999999
8718,EE_TLS,MKT,KG_HAB,SI,,0.21,0.27,0.31,0.25,0.23,0.2,0.25,0.24,0.2,0.19,0.32,0.11,,2.78
8719,EE_TLS,MKT,KG_HAB,SK,,0.32,0.17,0.07,0.12,0.1,0.08,0.08,0.1,0.08,0.09,0.02,0.1,0.04,1.3700000000000003
8720,EE_TLS,MKT,KG_HAB,GB,,0.84,0.92,0.85,0.81,0.73,0.79,0.81,0.99,0.78,0.93,0.62,,,9.07
8753,EE_TLS,RCV,KG_HAB,AT,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.09999999999999999
8754,EE_TLS,RCV,KG_HAB,BE,,0.05,0.04,0.03,0.03,0.02,0.03,0.05,0.02,0.01,0.01,0.0,,,0.29000000000000004
8755,EE_TLS,RCV,KG_HAB,BG,,0.03,0.06,0.05,0.04,0.01,0.04,0.01,0.02,0.01,,,,,0.27
8756,EE_TLS,RCV,KG_HAB,CY,,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,,,,,0.04
8757,EE_TLS,RCV,KG_HAB,CZ,,0.04,0.05,0.02,0.01,0.03,0.03,0.02,0.02,0.01,0.0,0.0,,,0.23
8758,EE_TLS,RCV,KG_HAB,DE,,0.08,0.08,0.07,0.12,0.09,0.04,0.04,0.04,0.12,0.09,0.05,0.05,,0.8700000000000001
