,waste,wst_oper,unit,geo\time,y2018,y2017,y2016,y2015,y2014,y2013,y2012,y2011,y2010,y2009,y2008,y2007,y2006,y2005
4119,EE_LHA,MKT,T,UK,814659.0,845875.0,876203.0,824873.0,780230.0,739247.0,701195.0,684074.0,699045.0,684854.0,696116.0,407191.0,0.0,0.0
4186,EE_LHA,RCV,T,AT,64022.0,61225.0,33298.0,30255.0,29116.0,27916.0,27715.0,28385.0,28426.0,30261.0,30579.0,27304.0,28637.0,9119.0
4187,EE_LHA,RCV,T,BE,55057.0,50000.0,50844.0,48976.0,44838.0,46361.0,44850.0,43835.0,42578.0,40429.0,33094.0,28422.0,28158.0,26449.0
4188,EE_LHA,RCV,T,BG,0.0,35428.0,36874.0,38621.0,26880.0,22562.0,24545.0,25835.0,26236.0,20142.0,20584.0,11649.0,0.0,0.0
4189,EE_LHA,RCV,T,CY,0.0,2626.0,1456.0,1821.0,1087.0,931.0,1109.0,1154.0,1407.0,1507.0,0.0,0.0,0.0,0.0
4190,EE_LHA,RCV,T,CZ,41108.0,42712.0,44415.0,31876.0,23884.0,24379.0,20284.0,24993.0,23704.0,23713.0,19392.0,13208.0,0.0,0.0
4191,EE_LHA,RCV,T,DE,347429.0,349288.0,309900.0,257525.0,228302.0,259862.0,223476.0,225634.0,235184.0,268487.0,242491.0,217591.0,417507.0,0.0
4192,EE_LHA,RCV,T,DK,33694.0,34951.0,35724.0,29942.0,27138.0,29109.0,29081.0,38703.0,29975.0,30691.0,37638.0,44297.0,28250.0,0.0
4193,EE_LHA,RCV,T,EE,4955.0,4544.0,4301.0,3083.0,2529.0,1465.0,1701.0,2328.0,2215.0,1708.0,2690.0,2798.0,0.0,0.0
4194,EE_LHA,RCV,T,EL,34699.0,30946.0,31918.0,26074.0,21962.0,18792.0,18286.0,23304.0,28559.0,40756.0,28592.0,19104.0,7437.0,85.0
4195,EE_LHA,RCV,T,ES,198734.0,162492.0,136903.0,112864.0,82283.0,117151.0,81176.0,72938.0,66418.0,64980.0,243357.0,224399.0,114943.0,0.0
4196,EE_LHA,RCV,T,EU27_2020,0.0,1792923.0,1668377.0,1441058.0,1238195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4197,EE_LHA,RCV,T,EU28,0.0,2342515.0,2253738.0,1752105.0,1500021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4198,EE_LHA,RCV,T,FI,34568.0,32423.0,30644.0,30197.0,30265.0,26579.0,24492.0,24428.0,25651.0,24395.0,23614.0,22332.0,19557.0,8298.0
4199,EE_LHA,RCV,T,FR,430112.0,405258.0,382019.0,325435.0,266889.0,232079.0,214654.0,210297.0,201006.0,182231.0,144292.0,86932.0,0.0,0.0
4200,EE_LHA,RCV,T,HR,20952.0,18306.0,19777.0,10684.0,5227.0,6214.0,5755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4201,EE_LHA,RCV,T,HU,0.0,29365.0,27768.0,25096.0,24503.0,21909.0,19202.0,19032.0,18325.0,24332.0,24218.0,18909.0,11481.0,9024.0
4202,EE_LHA,RCV,T,IE,35404.0,27717.0,28920.0,24430.0,19804.0,16411.0,18249.0,18616.0,20449.0,21827.0,20752.0,19970.0,0.0,0.0
4203,EE_LHA,RCV,T,IS,0.0,2537.0,1752.0,1410.0,2009.0,1088.0,1190.0,853.0,681.0,333.0,0.0,0.0,0.0,0.0
4204,EE_LHA,RCV,T,IT,0.0,0.0,0.0,157570.0,127781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4205,EE_LHA,RCV,T,LI,134.0,121.0,132.0,115.0,56.0,53.0,13.0,15.0,24.0,9.0,6.0,6.0,0.0,0.0
4206,EE_LHA,RCV,T,LT,0.0,5614.0,5732.0,8162.0,10424.0,6499.0,6284.0,5115.0,3910.0,3166.0,4850.0,4499.0,3824.0,386.0
4207,EE_LHA,RCV,T,LU,0.0,2988.0,2925.0,2698.0,2499.0,2262.0,2005.0,2007.0,1984.0,1936.0,1524.0,1612.0,1775.0,0.0
4208,EE_LHA,RCV,T,LV,4285.0,4378.0,2258.0,2110.0,2225.0,2109.0,1827.0,1725.0,1723.0,1813.0,2229.0,2258.0,0.0,0.0
4209,EE_LHA,RCV,T,MT,0.0,1122.0,970.0,324.0,946.0,678.0,350.0,834.0,77.0,0.0,0.0,0.0,0.0,0.0
4210,EE_LHA,RCV,T,NL,83263.0,82771.0,73123.0,64260.0,62493.0,56722.0,56874.0,59903.0,59849.0,42320.0,34673.0,34045.0,34939.0,36506.0
4211,EE_LHA,RCV,T,NO,43656.0,42825.0,45937.0,48583.0,47302.0,42783.0,40950.0,44176.0,41583.0,38904.0,40135.0,39414.0,37942.0,51964.0
4212,EE_LHA,RCV,T,PL,0.0,106467.0,97616.0,78923.0,69849.0,72897.0,73345.0,70630.0,47435.0,43155.0,7844.0,4015.0,504.0,0.0
4213,EE_LHA,RCV,T,PT,0.0,37595.0,37037.0,33691.0,29055.0,29560.0,21391.0,30390.0,23947.0,18256.0,17644.0,18089.0,2160.0,24.0
4214,EE_LHA,RCV,T,RO,0.0,0.0,24838.0,16983.0,18943.0,18845.0,10181.0,9116.0,13119.0,19099.0,3540.0,344.0,28.0,0.0
4215,EE_LHA,RCV,T,SE,61207.0,64722.0,72952.0,64539.0,63997.0,75365.0,70630.0,69451.0,68414.0,62595.0,64143.0,70883.0,54697.0,20511.0
4216,EE_LHA,RCV,T,SI,0.0,5606.0,4790.0,4379.0,4463.0,2893.0,3468.0,3382.0,3378.0,3582.0,0.0,0.0,0.0,0.0
4217,EE_LHA,RCV,T,SK,0.0,13756.0,13806.0,10541.0,10814.0,10593.0,10258.0,11083.0,10993.0,11544.0,10856.0,7700.0,4414.0,1658.0
4218,EE_LHA,RCV,T,UK,524629.0,549592.0,585360.0,311046.0,261826.0,0.0,0.0,0.0,0.0,200466.0,198104.0,94148.0,0.0,0.0
4285,EE_LHA,RCY_REU,T,AT,57351.0,55621.0,31058.0,28355.0,26270.0,25906.0,25584.0,26753.0,26220.0,27916.0,28984.0,25733.0,27533.0,8617.0
4286,EE_LHA,RCY_REU,T,BE,48273.0,44109.0,43764.0,43798.0,40506.0,42637.0,40859.0,39762.0,38782.0,37020.0,30444.0,26357.0,26330.0,24346.0
